Operation,Monet_Client_Time,PSQL_Client_Time
Q9_get_distinct_vessels_1250,1.2728937696665525,18.635446824133396
Q10_get_distinct_vessels_2500,1.0607570949941874,26.59522296115756
Q11_get_distinct_vessels_5000,0.8648456688970327,51.24375173635781
Q12_get_vessels_interval_45_days,0.23135356977581978,6.023497451096773
Q13_get_vessels_interval_91_days,0.4517620373517275,7.521275689825416
Q14_get_vessels_interval_183_days,0.8298999033868313,11.26413738168776
Q15_get_vessels_polygon1_proj3035,13.783308839425445,4.9704147558659315
Q16_get_vessels_polygon2_proj3035,16.660850616171956,5.580141754820943
Q17_get_vessels_polygon3_proj3035,3.974268339574337,2.957497389987111
Q18_get_vessels_polygon4_proj3035,16.559165257960558,5.436008542776108
Q19_get_vessels_polygon5_proj3035,5.034247225150466,3.2318257726728916
All queries,60.72335232235491,143.4592202603817
